Stock,Portfolio,Beta
SRF.NS,GDP,0.7941412707378801
SRF.NS,IIP,0.5062328567560328
SRF.NS,CPI,0.6710249080249838
TORNTPHARM.NS,GDP,0.3529048479497128
TORNTPHARM.NS,IIP,0.2172152304892221
TORNTPHARM.NS,CPI,0.44526843485483786
MMTC.NS,GDP,0.7834624018688373
MMTC.NS,IIP,0.679928388640062
MMTC.NS,CPI,0.5734970822006232
WHIRLPOOL.NS,GDP,0.6008779563346548
WHIRLPOOL.NS,IIP,0.3836480086487701
WHIRLPOOL.NS,CPI,0.545280734111041
TATAMOTORS.NS,GDP,1.0111612880758625
TATAMOTORS.NS,IIP,0.6174015180359376
TATAMOTORS.NS,CPI,0.6182388465441311
NTPC.NS,GDP,0.579415202159538
NTPC.NS,IIP,0.42796975314105407
NTPC.NS,CPI,0.43023115047441307
MAHABANK.NS,GDP,0.721552962138208
MAHABANK.NS,IIP,0.6058312464875225
MAHABANK.NS,CPI,0.591484722099521
BHEL.NS,GDP,1.0460030568029257
BHEL.NS,IIP,0.812255587468808
BHEL.NS,CPI,0.7638835069947433
MPHASIS.NS,GDP,0.5594014978600174
MPHASIS.NS,IIP,0.2771641052528347
MPHASIS.NS,CPI,0.3849499495476791
BASF.NS,GDP,0.5277945336014861
BASF.NS,IIP,0.3694799584363428
BASF.NS,CPI,0.48521132045305715
GNFC.NS,GDP,0.7347521417461066
GNFC.NS,IIP,0.5773014147190082
GNFC.NS,CPI,0.6405242822559245
PCBL.NS,GDP,0.9595722022837755
PCBL.NS,IIP,0.7141214428440124
PCBL.NS,CPI,0.7988330283711879
HINDZINC.NS,GDP,0.6161313001399753
HINDZINC.NS,IIP,0.4755293065441964
HINDZINC.NS,CPI,0.46606955285443197
SCI.NS,GDP,0.8886465062271005
SCI.NS,IIP,0.7232141883721631
SCI.NS,CPI,0.73828894175527
JWL.NS,GDP,0.9209136047688503
JWL.NS,IIP,0.6714498535147558
JWL.NS,CPI,0.7734428669829708
ABBOTINDIA.NS,GDP,0.34430668377474916
ABBOTINDIA.NS,IIP,0.1951884234175955
ABBOTINDIA.NS,CPI,0.31296436019634993
AUROPHARMA.NS,GDP,0.8318733795294602
